species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Steganopus_tricolor;Scolopaci;Scolopacidae;94;2;0.092592593;0.102592593;YES;0.927445785;92.7445785;47.606;North temperate;-101.185;9;1;1975;before 2000;23;194.4
Numenius_madagascariensis;Scolopaci;Scolopacidae;78;1;0.015571473;0.025571473;YES;0.411663719;41.1663719;49.397;North temperate;129.908;18;10;2002;after 2000;22;321.1
Limosa_limosa;Scolopaci;Scolopacidae;74;3;0.127;0.137;NO;0.974450372;97.4450372;52.293;North temperate;106.501;122;1;2002;after 2000;21;110
Limosa_limosa;Scolopaci;Scolopacidae;74;2;0.0255947;0.0355947;YES;0.503441743;50.3441743;52.517;North temperate;4.783;146;4;1985;before 2000;420;5313.6
Calidris_minutilla;Scolopaci;Scolopacidae;20;2;0.023700306;0.033700306;YES;0.43766427;43.766427;54.017;North temperate;-132.133;46;5;1986;before 2000;344;3924
Calidris_alpina;Scolopaci;Scolopacidae;10;2;0.061850444;0.071850444;YES;0.79732418;79.732418;55.47;North temperate;12.97;131;6;1983;before 2000;203;1972.5
Calidris_alpina;Scolopaci;Scolopacidae;10;4;0.014894251;0.024894251;YES;0.312818686;31.2818686;58.701;North temperate;-93.802;56;8;1988;before 2000;127;1678.5
Calidris_pusilla;Scolopaci;Scolopacidae;22;3;0.047281324;0.057281324;YES;0.679616641;67.9616641;58.701;North temperate;-93.802;56;3;1981;before 2000;213;2220.75
Numenius_arquata;Scolopaci;Scolopacidae;77;6;0.024955437;0.034955437;NO;0.574375206;57.4375206;59.817;North temperate;16.55;143;3;1988;before 2000;113;1683
Numenius_phaeopus;Scolopaci;Scolopacidae;79;4;0.049666525;0.059666525;YES;0.771753148;77.1753148;63.764;Arctic;-20.068;127;2;2009;after 2000;59;704.7
Calidris_mauri;Scolopaci;Scolopacidae;17;1;0.04089441;0.05089441;NO;0.647904434;64.7904434;64.449;Arctic;-164.977;2;6;2004;after 2000;322;3351
Calidris_pusilla;Scolopaci;Scolopacidae;22;2;0.03943284;0.04943284;NO;0.611490387;61.1490387;64.449;Arctic;-164.977;2;3;1994;before 2000;134;938
Phalaropus_lobatus;Scolopaci;Scolopacidae;81;2;0.022059;0.032059;NO;0.394610729;39.4610729;64.79;Arctic;177.637;138;1;2015;after 2000;27;272
Calidris_tenuirostris;Scolopaci;Scolopacidae;25;1;0.029360492;0.039360492;YES;0.538518623;53.8518623;64.844;Arctic;178.314;6;3;1994;before 2000;13;136.2375
Calidris_temminckii;Scolopaci;Scolopacidae;24;1;0.027698379;0.037698379;YES;0.501729649;50.1729649;65.021;Arctic;24.72;16;23;1994;before 2000;500;5520.48
Calidris_ptilocnemis;Scolopaci;Scolopacidae;21;1;0.015952144;0.025952144;NO;0.320187303;32.0187303;66.066;Arctic;-170.7;137;3;1979;before 2000;35;501.5
Calidris_mauri;Scolopaci;Scolopacidae;17;2;0.03373494;0.04373494;YES;0.57595993;57.595993;66.098546;Arctic;-169.845542;137;3;1979;before 2000;52;622.5
Calidris_ruficollis;Scolopaci;Scolopacidae;23;1;0.038057417;0.048057417;YES;0.628205181;62.8205181;66.134;Arctic;-169.759;137;3;1979;before 2000;51;604.35
Calidris_temminckii;Scolopaci;Scolopacidae;24;3;0.074576271;0.084576271;NO;0.85369888;85.369888;67.025;Arctic;-174.142;15;3;1987;before 2000;19;147.5
Calidris_mauri;Scolopaci;Scolopacidae;17;5;0.045612009;0.055612009;NO;0.688739402;68.8739402;67.1;Arctic;-163.5;23;5;2012;after 2000;157;1732
Phalaropus_lobatus;Scolopaci;Scolopacidae;81;4;0.031531532;0.041531532;NO;0.513678553;51.3678553;67.1;Arctic;-163.5;23;3;2011;after 2000;35;444
Phalaropus_lobatus;Scolopaci;Scolopacidae;81;1;0.060560933;0.070560933;NO;0.754786786;75.4786786;69.045;Arctic;-135.048;82;6;2011;after 2000;122;1007.25
Calidris_pusilla;Scolopaci;Scolopacidae;22;4;0.08411215;0.09411215;NO;0.873148969;87.3148969;69.4;Arctic;-81.6;57;2;2013;after 2000;15;107
Calidris_alpina;Scolopaci;Scolopacidae;10;3;0.01025641;0.02025641;YES;0.227199417;22.7199417;70.38;Arctic;-149.534;73;4;1990;before 2000;35;487.5
