who,source_id,species,ref_abb,locality,start_year,year,end_year,nests_total,nests_hatched,nests_predated,nests_abandoned,nests_infertile,nests_failed_other_cause,nests_unknown_fate,nests_total_failed,prop_hatched,prop_predated,daily_survival_rate,ds_lwr,ds_upr,daily_predation_rate,dp_lwr,dp_upr,overall_nest_success,os_lwr,os_upr,overall_predation_rate,op_lwr,op_upr,uncertainty,exposure_days,estimation_method,nest_exposure_interval,nest_search_frequency,nest_check_frequency,when_most_nests_found,incubation_period,egg_laying_period,incubation+laying_period,study_anomaly,comments,nest level data in 'nests',Data quality
rlanctot,58,Tryngites_subruficollis,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,4,2,,,,,,2,,,,,,,,,0.42,0.37,0.47,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,24,,,no,,no,5
rlanctot,58,Calidris_alpina,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,7,6,,,,,,1,,,,,,,,,0.72,0.69,0.75,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,22,,,no,,no,5
rlanctot,58,Calidris_himantopus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,12,9,,,,,,3,,,,,,,,,0.57,0.54,0.6,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,21,,,no,,no,5
rlanctot,58,Calidris_melanotos,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,41,33,,,,,,8,,,,,,,,,0.68,0.67,0.69,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,23,,,no,,no,5
rlanctot,58,Calidris_pusilla,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,43,38,,,,,,5,,,,,,,,,0.84,0.83,0.85,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,20,,,no,,no,5
rlanctot,58,Limnodromus_scolopaceus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,4,3,,,,,,1,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,21,,,no,,no,5
rlanctot,58,Phalaropus_fulicarius,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,20,15,,,,,,5,,,,,,,,,0.53,0.5,0.56,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,20,,,no,,no,5
rlanctot,58,Phalaropus_lobatus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,4,3,,,,,,1,,,,,,,,,0.63,0.58,0.68,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,19,,,no,,no,5
rlanctot,58,Pluvialis_dominica,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,6,2,,,,,,4,,,,,,,,,0.29,0.24,0.34,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,26,,,no,,no,5
rlanctot,58,Pluvialis_squatarola,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,8,5,,,,,,3,,,,,,,,,0.5,0.47,0.53,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,27,,,no,,no,5
