"check nest_search, when_found","who","source_id","species","ref_abb","locality","start_year","year","end_year","nests_hatched","nests_predated","nests_abandoned","nests_infertile","nests_failed_other_cause","nests_unknown_fate","prop_hatched","prop_predated","daily_survival_rate","ds_lwr","ds_upr","daily_predation_rate","dp_lwr","dp_upr","overall_nest_success","os_lwr","os_upr","overall_predation_rate","op_lwr","op_upr","uncertainty","exposure_days","estimation_method","nest_exposure_interval","nest_search_frequency","nest_check_frequency","when_most_nests_found","incubation_period","egg_laying_period","incubation+laying_period","study_anomaly","comments","nest level data in 'nests'","Data quality","Incubation_days","DPR_assumption","obs_time","years_nr","mean_year","Failed_together","N.nests","DPRtrans","DPR_source","DPR","period","Latitude","Belt"
NA,"eweiser",67,"Rhinoptilus_africanus","Lloyd 2004","Droëgrond, Northern Cape Province",1993,"all",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,"0.005",NA,NA,NA,NA,NA,NA,NA,"se",199.5,"mayfield","inc+lay",NA,"1-2 per week",NA,"28",NA,NA,"no",NA,"no",4,26,"DPR_direct_from_source",0.5,4,1994.5,NA,12,"NO",0.005,0.005,"before",-29.117,"South tropics"
NA,"rlanctot",67,"Rhinoptilus_africanus","Lloyd 2004","Kalahari Gemsbok National Park",1993,"all",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0084,"0.0042",NA,NA,NA,NA,NA,NA,NA,"se",475,"mayfield","inc+lay",NA,"1-2 per week",NA,"28",NA,NA,"no",NA,"no",4,26,"DPR_direct_from_source",0.5,4,1994.5,NA,45,"NO",0.0084,0.0084,"before",-25.44,"South tropics"
NA,"bib_await",68,"Jacana_spinosa","Stephens 1984","Dr. Rafael Rodriguez National Wildlife Refuge",1980,NA,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,"YES",NA,NA,"before",10.27,"North tropics"
NA,"rlanctot",85,"Burhinus_oedicnemus","Taylor 2006","Salisbury plain, Wessex",2004,"all",2005,72,50,12,NA,NA,NA,NA,NA,0.9582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571.4,"mayfield","observed","1-2 per week","1-2 per week","laying",NA,NA,NA,"no","DSR for all nests used - 1st and renests","no",4,27,NA,0.6,2,2004.5,50,122,"YES",NA,0.0318187603410971,"after",51.195,"North temperate"
NA,"FSquirrell",86,"Burhinus_oedicnemus","Nadeem at al. 2014","Nag valley",1999,"1999",2001,38,8,NA,NA,NA,NA,0.8169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680.4,NA,NA,"1-2 per week","1-2 per week",NA,"24-27",NA,NA,NA,NA,"no",3,27,"Fail_is_depr",0.6,3,2000,8,46,"YES",NA,0.0117577895355673,"before",27.683,"North tropics"
NA,"FSquirrell",86,"Burhinus_oedicnemus","Nadeem at al. 2014","Nag valley",1999,"2000",2001,27,7,NA,NA,NA,NA,0.7959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.1,NA,NA,"1-2 per week","1-2 per week",NA,"24-27",NA,NA,NA,NA,"no",3,27,"Fail_is_depr",0.6,3,2000,7,34,"YES",NA,0.014167172637118,"after",27.683,"North tropics"
NA,"FSquirrell",86,"Burhinus_oedicnemus","Nadeem at al. 2014","Nag valley",1999,"2001",2001,19,7,NA,NA,NA,NA,0.7419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.5,NA,NA,"1-2 per week","1-2 per week",NA,"24-27",NA,NA,NA,NA,"no",3,27,"Fail_is_depr",0.6,3,2000,7,26,"YES",NA,0.0192043895747599,"after",27.683,"North tropics"
NA,"bib_await",87,"Burhinus_vermiculatus","Dobson 2004","Mpenjati Nature Reserve",2001,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,"YES",NA,NA,"after",-30.972,"South temperate"
NA,"eweiser",88,"Pluvianellus_socialis","Lishman & Nol 2012","Santa Cruz Province",2006,"2006",2007,12,4,0,0,1,0,NA,NA,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.75,NA,NA,NA,"1-2 per week",NA,"24",NA,NA,NA,NA,NA,NA,27,NA,0.5,2,2006.5,5,17,"YES",NA,0.0204342273307791,"after",-51.23,"South temperate"
NA,"eweiser",89,"Haematopus_bachmani","Tessler & Garding 2006","Beardslee Islands, Alaska",2004,"2004",2005,9,5,0,1,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.75,NA,NA,NA,"less than weekly",NA,NA,NA,NA,"no","failed_other often to flooding. Average across first and second clutches.",NA,3,28.5,NA,0.5,2,2004.5,19,28,"YES",NA,0.0184672206832872,"after",58.508,"North temperate"
